index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
83165,6,840,1,3,2,7,2,1,6,0,6,3,3,62,1,6,6,8,1,1,1,1963,48,9.0,48.0,840002,2011
83166,6,840,1,2,2,9,3,-2,1,4,8,2,1,62,1,3,3,8,1,1,1,1954,57,8.0,17.0,840002,2011
83167,6,840,1,1,1,10,4,1,6,0,10,2,1,0,1,8,9,8,2,2,2,1990,21,9.0,22.0,840002,2011
83168,6,840,1,1,3,2,3,3,1,2,3,3,2,0,1,10,5,5,1,1,2,1956,55,8.0,17.0,840002,2011
83169,6,840,1,1,2,8,3,1,1,2,7,4,3,53,1,5,3,6,5,2,2,1956,55,9.0,22.0,840002,2011
83170,6,840,3,4,4,2,4,2,6,0,1,4,3,0,3,5,9,5,2,2,1,1988,23,9.0,22.0,840002,2011
83171,6,840,1,1,1,8,4,2,1,2,2,3,3,62,1,10,2,4,6,2,2,1969,42,9.0,43.0,840002,2011
83172,6,840,1,1,1,10,4,1,1,2,10,2,2,64,1,6,1,4,2,2,2,1962,49,7.0,49.0,840002,2011
83173,6,840,1,3,1,6,2,2,1,0,7,3,1,49,1,3,6,3,7,2,2,1986,25,9.0,26.0,840004,2011
83174,6,840,1,2,3,4,4,2,6,0,3,1,2,12,1,8,5,9,7,2,2,1991,20,8.0,24.0,840004,2011
83175,6,840,3,1,2,5,3,3,1,1,8,3,2,0,1,5,5,5,1,2,2,1956,55,7.0,18.0,840002,2011
83176,6,840,1,3,2,8,2,2,1,2,9,3,3,0,2,5,5,5,2,2,2,1950,61,7.0,18.0,840002,2011
83177,6,840,1,1,1,8,3,2,1,2,8,3,2,62,1,4,4,6,4,1,1,1930,81,9.0,21.0,840002,2011
83178,6,840,1,3,1,9,4,3,1,2,10,3,2,62,2,10,10,6,2,2,2,1976,35,9.0,25.0,840002,2011
83179,6,840,1,4,2,8,4,3,3,2,4,2,3,0,2,10,10,10,4,2,2,1940,71,8.0,19.0,840002,2011
83180,6,840,1,1,2,9,4,2,1,3,9,3,3,53,1,1,3,3,5,2,2,1980,31,9.0,21.0,840002,2011
83181,6,840,1,1,1,9,4,1,1,2,8,3,3,53,1,1,3,3,1,1,1,1952,59,9.0,25.0,840002,2011
83182,6,840,1,1,2,6,3,1,1,0,7,4,3,62,1,1,1,5,1,1,2,1977,34,9.0,34.0,840002,2011
83183,6,840,1,1,2,7,3,3,3,3,8,2,2,53,1,1,1,5,4,1,1,1948,63,9.0,32.0,840002,2011
83184,6,840,1,3,2,9,4,2,6,0,8,3,2,62,2,10,9,7,2,2,2,1991,20,7.0,22.0,840002,2011
83185,6,840,1,1,2,8,3,1,3,2,6,3,3,62,1,5,6,9,2,1,2,1950,61,7.0,18.0,840002,2011
83186,6,840,1,2,1,8,4,3,6,0,10,2,2,53,1,8,6,5,2,2,2,1990,21,8.0,26.0,840002,2011
83187,6,840,1,1,2,6,4,3,6,0,1,2,3,42,1,10,10,10,6,1,2,1962,49,9.0,50.0,840002,2011
83188,6,840,1,2,1,9,4,2,1,3,8,2,1,62,1,3,5,7,1,1,1,1979,32,9.0,23.0,840002,2011
83189,6,840,1,4,2,9,3,2,1,2,8,3,1,0,2,5,5,5,4,2,1,1944,67,9.0,22.0,840006,2011
83190,6,840,2,4,2,5,3,3,6,0,4,2,3,0,2,5,5,5,1,2,1,1972,39,9.0,27.0,840002,2011
83191,6,840,1,2,2,7,3,2,6,0,7,3,3,12,1,5,5,5,2,2,1,1981,30,8.0,27.0,840004,2011
83192,6,840,1,1,1,9,4,2,1,0,9,2,3,62,1,1,1,5,1,2,2,1982,29,9.0,23.0,840002,2011
83193,6,840,1,2,2,8,4,1,1,2,6,2,3,64,1,8,1,10,4,2,1,1947,64,6.0,18.0,840002,2011
83194,6,840,2,4,2,8,3,3,1,2,8,2,4,0,1,5,5,7,2,2,2,1955,56,7.0,25.0,840002,2011
83195,6,840,1,3,2,9,4,2,3,3,7,2,3,62,1,10,10,10,4,2,2,1945,66,9.0,54.0,840002,2011
83196,6,840,1,3,2,6,3,2,3,0,7,3,2,0,1,10,9,9,1,2,1,1968,43,7.0,18.0,840002,2011
83197,6,840,2,3,1,8,3,2,1,2,9,2,2,62,2,10,8,8,4,1,1,1943,68,9.0,35.0,840002,2011
83198,6,840,1,1,1,8,4,1,1,4,5,2,2,53,1,1,2,6,1,1,2,1978,33,9.0,22.0,840003,2011
83199,6,840,1,1,3,6,3,2,3,3,6,3,3,53,1,6,8,8,4,1,2,1956,55,8.0,19.0,840003,2011
83200,6,840,1,1,1,8,4,2,1,0,6,2,2,62,1,7,1,5,6,2,2,1986,25,9.0,26.0,840002,2011
83201,6,840,1,3,3,3,3,1,5,2,7,3,2,62,2,5,1,3,4,1,1,1928,83,7.0,18.0,840002,2011
83202,6,840,1,2,1,8,3,1,6,0,7,2,2,0,1,5,5,5,8,1,2,1965,46,8.0,46.0,840002,2011
83203,6,840,1,2,2,7,4,2,1,2,8,2,2,42,2,9,6,7,1,1,1,1970,41,9.0,22.0,840002,2011
83204,6,840,1,-2,2,5,4,1,1,1,9,2,3,53,1,1,1,5,4,2,2,1957,54,6.0,17.0,840002,2011
83205,6,840,1,1,2,8,3,1,1,4,8,3,2,64,1,5,2,3,3,2,1,1947,64,9.0,19.0,840004,2011
